Loan_Number,AD_Tool,Appraisal_Dt,Auth_Price,Attached_Ind
100205,DS,9/13/2006 12:00:00 AM,100.125,Y
100206,,,100.25,N
227,,,100,N
100207,,,100.125,N
100208,DS,01/08/2007 0:00,100.375,Y
228,DS,,100.125,N
100209,DS,10/26/2006 12:00:00 AM,99.75,Y
229,DS,03/09/2007 0:00,100,N
100210,DS,04/02/2007 0:00,99.125,N
230,,,100.125,N
100211,DS,11/30/2006 12:00:00 AM,97.625,Y
100212,LP,10/09/2006 0:00,99.436996,N
231,DS,11/22/2006 12:00:00 AM,100.25,N
100213,DS,10/10/2006 0:00,98.375,N
100214,DS,10/06/2006 0:00,101.125,N
232,DS,11/22/2006 12:00:00 AM,100.25,N
100215,,,100,Y
233,,,100.125,Y
100216,DS,9/20/2006 12:00:00 AM,100.125,N
100217,DS,2/22/2007 12:00:00 AM,100.375,Y
234,,,100,N
100218,DS,11/03/2006 0:00,99.875,N
100219,DS,11/20/2006 12:00:00 AM,100.75,N
235,DS,2/26/2007 12:00:00 AM,101,N
100220,DS,10/04/2006 0:00,100.25,N
100221,,,100.125,N
236,DS,10/24/2006 12:00:00 AM,100,Y
100222,DS,10/17/2006 12:00:00 AM,100.625,Y
100223,,,100,N
100224,DS,11/29/2006 12:00:00 AM,101.25,N
237,DS,11/01/2006 0:00,100.125,Y
100225,DS,10/02/2006 0:00,100.125,N
238,DS,10/16/2006 12:00:00 AM,100,N
100226,,,100,Y
239,DS,11/03/2006 0:00,96.125,Y
100227,,,100,N
240,DS,12/22/2006 12:00:00 AM,98.25,N
100228,DS,,100.125,N
241,DS,,100,N
242,DS,1/24/2007 12:00:00 AM,100,N
100229,DS,03/09/2007 0:00,100,N
243,,,100,N
244,DS,3/20/2007 12:00:00 AM,100,Y
100230,,,100.125,N
245,DS,01/02/2007 0:00,100.75,Y
100231,DS,11/22/2006 12:00:00 AM,100.25,N
246,DS,11/09/2006 0:00,100.125,Y
100232,DS,11/22/2006 12:00:00 AM,100.25,N
247,DS,03/06/2007 0:00,101.5,N
100233,,,100.125,Y
248,DS,03/07/2007 0:00,99.625,N
100234,,,100,N
249,DS,02/08/2007 0:00,100.5,N
250,DS,12/29/2006 12:00:00 AM,99,N
100235,DS,2/26/2007 12:00:00 AM,101,N
251,DS,,100,N
100236,DS,10/24/2006 12:00:00 AM,100,Y
252,DS,12/22/2006 12:00:00 AM,100.375,N
100237,DS,11/01/2006 0:00,100.125,Y
253,DS,01/08/2007 0:00,99.875,N
100238,DS,10/16/2006 12:00:00 AM,100,N
254,DS,12/21/2006 12:00:00 AM,101,Y
100239,DS,11/03/2006 0:00,96.125,Y
255,DS,01/04/2007 0:00,100.875,N
100240,DS,12/22/2006 12:00:00 AM,98.25,N
256,,,100,N
100241,DS,,100,N
257,DS,9/15/2006 12:00:00 AM,100,N
100242,DS,1/24/2007 12:00:00 AM,100,N
258,DS,3/27/2007 12:00:00 AM,101,N
259,DS,01/12/2007 0:00,99.375,Y
260,DS,12/14/2006 12:00:00 AM,100.25,N
100243,,,100,N
100244,DS,3/20/2007 12:00:00 AM,100,Y
261,DS,12/21/2006 12:00:00 AM,100.25,N
100245,DS,01/02/2007 0:00,100.75,Y
262,DS,12/19/2006 12:00:00 AM,100.125,N
100246,DS,11/09/2006 0:00,100.125,Y
263,DS,2/21/2007 12:00:00 AM,99.625,N
100247,DS,03/06/2007 0:00,101.5,N
100248,DS,03/07/2007 0:00,99.625,N
264,DS,2/23/2007 12:00:00 AM,100.875,Y
265,DS,1/26/2007 12:00:00 AM,100.25,N
100249,DS,02/08/2007 0:00,100.5,N
266,DS,1/20/2007 12:00:00 AM,98.625,N
100250,DS,12/29/2006 12:00:00 AM,99,N
267,DS,02/02/2007 0:00,99.25,N
100251,DS,,100,N
268,DS,12/29/2006 12:00:00 AM,100,N
100252,DS,12/22/2006 12:00:00 AM,100.375,N
269,DS,,100.25,N
100253,DS,01/08/2007 0:00,99.875,N
270,,,100.125,N
271,LP,3/28/2007 12:00:00 AM,100.625,Y
100254,DS,12/21/2006 12:00:00 AM,101,Y
272,DS,1/29/2007 12:00:00 AM,98.5,N
100255,DS,01/04/2007 0:00,100.875,N
273,DS,11/02/2006 0:00,100.125,N
100256,,,100,N
274,DS,3/20/2007 12:00:00 AM,100.25,N
100257,DS,9/15/2006 12:00:00 AM,100,N
